,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.48,0.24316641873416645,0.26,0.12158320936708322,0.0,0.0,0.74,0.12158320936708322,0.26,0.12158320936708322,0.0,0.0,0.0,0.0,0.0,0.0
2,2.24,0.40948523392181047,0.62,0.19115778613490997,0.0,0.0,0.6866666666666668,0.10839821892755742,0.3133333333333334,0.10839821892755741,0.0,0.0,0.0,0.0,0.0,0.0
3,1.84,0.49385777385802077,1.94,0.24423833605722095,0.0,0.0,0.3840952380952381,0.09440485027087676,0.615904761904762,0.09440485027087678,0.0,0.0,0.0,0.0,0.0,0.0
4,1.52,0.423069529982957,3.02,0.41296041844225206,0.0,0.0,0.27236507936507937,0.07466489966427695,0.7276349206349209,0.07466489966427695,0.0,0.0,0.0,0.0,0.0,0.0
5,1.16,0.3855176011546037,3.96,0.5760132887355986,0.0,0.0,0.21768253968253976,0.0835261321621881,0.7823174603174605,0.08352613216218803,0.0,0.0,0.01414213562373095,0.02744,0.01414213562373095,0.02744
6,0.8,0.33262302987015196,4.72,0.648970177434988,0.0,0.0,0.12035064935064936,0.052533868785414106,0.8796493506493509,0.052533868785414085,0.0,0.0,0.01414213562373095,0.02744,0.01414213562373095,0.02744
7,0.6,0.2771858582251266,5.22,0.6750827291525093,0.0,0.0,0.07724242424242425,0.03823762782798162,0.9227575757575758,0.03823762782798162,0.0,0.0,0.01,0.019403010075758842,0.01,0.019403010075758842
8,0.88,0.3703933303935156,5.38,0.7993148185790129,0.0,0.0,0.1501284271284271,0.06909122866772327,0.8498715728715729,0.06909122866772328,0.0,0.0,0.01,0.019403010075758842,0.01,0.019403010075758842
9,0.6,0.27718585822512654,5.96,0.812792881858595,0.0,0.0,0.09474747474747475,0.04960277854252583,0.9052525252525251,0.04960277854252586,0.0,0.0,0.01,0.019403010075758842,0.01,0.019403010075758842
10,0.48,0.26143784576835866,6.32,0.8433741300277117,0.0,0.0,0.06415628815628815,0.03594751134076079,0.935843711843712,0.035947511340760796,0.0,0.0,0.01,0.019403010075758842,0.01,0.019403010075758842
